area_type,location,total_sqft,bath,balcony,price,ready_to_move,bhk
Super built-up  Area,1st Block Jayanagar,2850.0,4,1,428.0,0,4.0
Super built-up  Area,1st Block Jayanagar,1630.0,3,2,194.0,0,3.0
Super built-up  Area,1st Block Jayanagar,1875.0,2,3,235.0,1,3.0
Built-up  Area,1st Block Jayanagar,1200.0,2,0,130.0,0,3.0
Super built-up  Area,1st Block Jayanagar,1235.0,2,2,148.0,0,2.0
Super built-up  Area,1st Block Jayanagar,2750.0,4,0,413.0,0,4.0
Super built-up  Area,1st Block Jayanagar,2450.0,4,2,368.0,0,4.0
Super built-up  Area,1st Phase JP Nagar,2825.0,4,3,250.0,1,4.0
Super built-up  Area,1st Phase JP Nagar,1875.0,3,1,167.0,1,3.0
Built-up  Area,1st Phase JP Nagar,1500.0,5,0,85.0,1,5.0
Super built-up  Area,1st Phase JP Nagar,2065.0,4,1,210.0,1,3.0
Super built-up  Area,1st Phase JP Nagar,2024.0,3,0,157.0,1,3.0
Super built-up  Area,1st Phase JP Nagar,2059.0,3,2,225.0,1,3.0
Super built-up  Area,1st Phase JP Nagar,1394.0,2,1,100.0,1,2.0
Super built-up  Area,1st Phase JP Nagar,1077.0,2,2,93.0,0,2.0
Built-up  Area,1st Phase JP Nagar,839.907117,1,1,63.0,1,1.0
Plot  Area,1st Phase JP Nagar,1566.0,2,0,180.0,1,2.0
Built-up  Area,1st Phase JP Nagar,840.0,2,2,50.0,1,1.0
Super built-up  Area,1st Phase JP Nagar,1590.0,3,3,131.0,0,3.0
Super built-up  Area,1st Phase JP Nagar,2180.0,3,2,210.0,1,3.0
Super built-up  Area,1st Phase JP Nagar,1180.0,2,2,88.5,1,2.0
Super built-up  Area,1st Phase JP Nagar,1200.0,2,0,86.0,1,2.0
Built-up  Area,1st Phase JP Nagar,1394.0,2,2,85.0,1,2.0
Super built-up  Area,1st Phase JP Nagar,2077.0,3,3,175.0,0,3.0
Super built-up  Area,1st Phase JP Nagar,4550.0,2,1,240.0,1,4.0
Super built-up  Area,1st Phase JP Nagar,1205.0,2,1,85.0,1,2.0
Super built-up  Area,1st Phase JP Nagar,2615.0,5,3,222.0,1,4.0
Super built-up  Area,1st Phase JP Nagar,900.0,2,1,75.0,1,2.0
Super built-up  Area,2nd Phase Judicial Layout,1450.0,2,1,50.75,1,3.0
Super built-up  Area,2nd Phase Judicial Layout,1150.0,2,1,40.25,1,2.0
Super built-up  Area,2nd Phase Judicial Layout,1350.0,2,2,47.25,1,3.0
Super built-up  Area,2nd Phase Judicial Layout,900.0,2,2,41.0,0,2.0
Super built-up  Area,2nd Phase Judicial Layout,1681.0,3,3,69.0,1,3.0
Plot  Area,2nd Stage Nagarbhavi,1500.0,4,2,220.0,1,4.0
Plot  Area,2nd Stage Nagarbhavi,3000.0,8,3,451.0,1,6.0
Plot  Area,2nd Stage Nagarbhavi,2400.0,8,3,450.0,1,6.0
Plot  Area,2nd Stage Nagarbhavi,1200.0,4,2,245.0,1,4.0
Plot  Area,2nd Stage Nagarbhavi,1350.0,4,1,200.0,1,4.0
Plot  Area,2nd Stage Nagarbhavi,1200.0,4,1,225.0,1,4.0
Plot  Area,2nd Stage Nagarbhavi,1500.0,3,2,230.0,1,4.0
Super built-up  Area,5th Block Hbr Layout,1206.0,2,2,56.0,1,2.0
Super built-up  Area,5th Block Hbr Layout,1270.0,2,2,70.0,1,3.0
Plot  Area,5th Block Hbr Layout,1200.0,4,2,205.0,1,4.0
Super built-up  Area,5th Block Hbr Layout,1312.0,2,3,69.0,1,2.0
Super built-up  Area,5th Block Hbr Layout,1100.0,2,2,48.0,1,2.0
Built-up  Area,5th Block Hbr Layout,5100.0,5,3,300.0,1,6.0
Super built-up  Area,5th Phase JP Nagar,1075.0,2,2,60.0,1,2.0
Built-up  Area,5th Phase JP Nagar,1150.0,3,3,52.5,1,2.0
Super built-up  Area,5th Phase JP Nagar,1070.0,2,2,39.0,0,2.0
Built-up  Area,5th Phase JP Nagar,1256.0,2,1,62.8,1,2.0
Super built-up  Area,5th Phase JP Nagar,1207.0,2,2,63.0,1,2.0
Built-up  Area,5th Phase JP Nagar,1725.0,2,2,100.0,1,3.0
Super built-up  Area,5th Phase JP Nagar,1440.0,2,2,60.0,1,2.0
Super built-up  Area,5th Phase JP Nagar,1400.0,2,1,88.0,1,3.0
Super built-up  Area,5th Phase JP Nagar,1450.0,2,1,58.0,1,2.0
Built-up  Area,5th Phase JP Nagar,1700.0,2,3,100.0,1,3.0
Super built-up  Area,5th Phase JP Nagar,1485.0,2,2,67.0,1,3.0
Super built-up  Area,5th Phase JP Nagar,2500.0,5,0,110.0,1,5.0
Built-up  Area,5th Phase JP Nagar,600.0,1,1,30.0,1,1.0
Super built-up  Area,5th Phase JP Nagar,1390.0,2,2,65.0,1,2.0
Super built-up  Area,5th Phase JP Nagar,1220.0,2,3,88.0,1,2.0
Super built-up  Area,5th Phase JP Nagar,1000.0,2,0,48.0,1,2.0
Super built-up  Area,5th Phase JP Nagar,1350.0,2,1,75.0,1,3.0
Super built-up  Area,5th Phase JP Nagar,552.0,1,1,23.5,1,1.0
Super built-up  Area,5th Phase JP Nagar,1200.0,2,2,51.0,1,2.0
Super built-up  Area,5th Phase JP Nagar,1240.0,3,2,60.0,1,3.0
Built-up  Area,5th Phase JP Nagar,1550.0,3,3,75.0,1,3.0
Super built-up  Area,5th Phase JP Nagar,1485.0,2,1,66.0,1,3.0
Built-up  Area,5th Phase JP Nagar,1030.0,2,2,57.0,1,2.0
Super built-up  Area,5th Phase JP Nagar,1200.0,2,1,68.0,1,2.0
Built-up  Area,5th Phase JP Nagar,1190.0,2,2,61.8,1,2.0
Super built-up  Area,5th Phase JP Nagar,4000.0,5,2,170.0,1,5.0
Super built-up  Area,5th Phase JP Nagar,1080.0,2,1,53.0,1,2.0
Super built-up  Area,5th Phase JP Nagar,1041.0,2,2,54.0,1,2.0
Super built-up  Area,5th Phase JP Nagar,812.0,2,1,42.0,1,2.0
Built-up  Area,5th Phase JP Nagar,1010.0,2,2,57.0,1,2.0
Super built-up  Area,5th Phase JP Nagar,1450.0,2,2,73.0,1,3.0
Super built-up  Area,5th Phase JP Nagar,2500.0,8,3,95.0,1,7.0
Plot  Area,5th Phase JP Nagar,2400.0,4,1,228.0,1,4.0
Super built-up  Area,6th Phase JP Nagar,1192.0,2,2,74.0,1,2.0
Super built-up  Area,6th Phase JP Nagar,1180.0,2,3,80.0,1,2.0
Super built-up  Area,6th Phase JP Nagar,3245.0,4,0,250.0,1,4.0
Built-up  Area,6th Phase JP Nagar,1645.0,3,3,100.0,1,3.0
Super built-up  Area,6th Phase JP Nagar,1280.0,2,0,56.0,1,2.0
Built-up  Area,6th Phase JP Nagar,1140.0,2,2,65.0,1,2.0
Super built-up  Area,6th Phase JP Nagar,2040.0,3,0,200.0,1,3.0
Super built-up  Area,6th Phase JP Nagar,1213.0,2,1,63.0,1,2.0
Super built-up  Area,6th Phase JP Nagar,1350.0,2,0,58.0,1,3.0
Super built-up  Area,6th Phase JP Nagar,1170.0,2,2,120.0,1,2.0
Built-up  Area,6th Phase JP Nagar,1216.0,2,2,60.0,1,2.0
Super built-up  Area,6th Phase JP Nagar,1460.0,2,0,80.0,1,2.0
